postal_code,address,building_name,building_function,latitude,longitude
98829,"52 TELOK BLANGAH ROAD, SINGAPORE 098829",TELOK BLANGAH HOUSE,Retail,,
397799,"230 STADIUM BOULEVARD, SINGAPORE 397799",,Retail,,
828761,"83 PUNGGOL CENTRAL, SINGAPORE 828761",WATERWAY POINT,Retail,,
118176,"70 SOUTH BUONA VISTA ROAD, SINGAPORE 118176",NATIONAL COMMUNITY LEADERSHIP INSTITUTE,Office,,
648171,"1 BULIM DRIVE, SINGAPORE 648171",CUSTOMS OPERATIONS COMMAND,Office,,
677743,"1 JELEBU ROAD, SINGAPORE 677743",BUKIT PANJANG PLAZA,Retail,,
819664,"75 AIRPORT BOULEVARD, SINGAPORE 819664",CROWNE PLAZA CHANGI AIRPORT,Hotel,,
119958,"438 ALEXANDRA ROAD, SINGAPORE 119958",ALEXANDRA POINT,Office,,
308899,"1 GOLDHILL PLAZA, SINGAPORE 308899",GOLDHILL PLAZA,Mixed Development,,
648886,"1 JURONG WEST CENTRAL 2, SINGAPORE 648886",JURONG POINT,Retail,,
238909,"1 NANSON ROAD, SINGAPORE 238909",INTERCONTINENTAL SINGAPORE ROBERTSON QUAY,Hotel,,
68900,"108 ROBINSON ROAD, SINGAPORE 068900",,Office,,
238823,"ORCHARD ROAD, SINGAPORE 238823",ISTANA,Office,,
229616,"11 CAVENAGH ROAD, SINGAPORE 229616",HOLIDAY INN SINGAPORE ORCHARD CITY CENTRE,Hotel,,
257854,"60 STEVENS ROAD, SINGAPORE 257854",METRO-Y STEVENS,Hotel,,
68893,"61 ROBINSON ROAD, SINGAPORE 068893",ROBINSON CENTRE,Office,,
218184,"569 SERANGOON ROAD, SINGAPORE 218184",K SPACE INN 569,Hotel,,
257878,"28 STEVENS ROAD, SINGAPORE 257878",,Hotel,,
159049,"400 LENGKOK BAHRU, SINGAPORE 159049",LENG KEE COMMUNITY CENTRE,Office,,
248371,"491 RIVER VALLEY ROAD, SINGAPORE 248371",VALLEY POINT,Office,,
58281,"20 MERCHANT ROAD, SINGAPORE 058281",SWISSOTEL MERCHANT COURT SINGAPORE,Hotel,,
486038,"5 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486038",CHANGI CITY POINT,Retail,,
730900,"900 SOUTH WOODLANDS DRIVE, SINGAPORE 730900",WOODLANDS CIVIC CENTRE,Office,,
238910,"3 NANSON ROAD, SINGAPORE 238910",STUDIO M HOTEL,Hotel,,
99951,"10 ARTILLERY AVENUE, SINGAPORE 099951",,Hotel,,
18935,"5 STRAITS VIEW, SINGAPORE 018935",THE HEART,Office,,
119595,"31 HENG MUI KENG TERRACE, SINGAPORE 119595",,Office,,
248163,"1 SHERWOOD ROAD, SINGAPORE 248163",MINISTRY OF FOREIGN AFFAIRS BUILDING,Office,,
228213,"14 SCOTTS ROAD, SINGAPORE 228213",FAR EAST PLAZA,Retail,,
98374,"21 OCEAN WAY, SINGAPORE 098374",W SINGAPORE SENTOSA COVE HOTEL,Hotel,,
238896,"181 ORCHARD ROAD, SINGAPORE 238896",ORCHARD CENTRAL,Retail,,
218227,"2 SERANGOON ROAD, SINGAPORE 218227",TEKKA PLACE,Mixed Development,,
239732,"31 EXETER ROAD, SINGAPORE 239732",COMCENTRE,Office,,
48658,"20 PICKERING STREET, SINGAPORE 048658",PICKERING OPERATION CENTRE,Office,,
529536,"10 TAMPINES CENTRAL 1, SINGAPORE 529536",TAMPINES ONE,Retail,,
529509,"2 TAMPINES CENTRAL 5, SINGAPORE 529509",CENTURY SQUARE,Retail,,
538766,"90 HOUGANG AVENUE 10, SINGAPORE 538766",HOUGANG MALL,Retail,,
69547,"182 CECIL STREET, SINGAPORE 069547",FRASERS TOWER,Office,,
228220,"25 SCOTTS ROAD, SINGAPORE 228220",SCOTTSWALK,Mixed Development,,
78862,"1 GOPENG STREET, SINGAPORE 078862",CARLTON CITY SINGAPORE,Hotel,,
259708,"271 BUKIT TIMAH ROAD, SINGAPORE 259708",BALMORAL PLAZA,Retail,,
168937,"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",HEALTH PROMOTION BOARD,Office,,
609517,"21 JURONG EAST STREET 31, SINGAPORE 609517",,Office,,
49910,"9 BATTERY ROAD, SINGAPORE 049910",MYP CENTRE,Office,,
138637,"31 ROCHESTER DRIVE, SINGAPORE 138637",PARK ROCHESTER AVENUE,Hotel,,
609079,"10 SCIENCE CENTRE ROAD, SINGAPORE 609079",,Office,,
189630,"51 BENCOOLEN STREET, SINGAPORE 189630",BENCOOLEN RESIDENCES,Hotel,,
89109,"1 KEONG SAIK ROAD, SINGAPORE 089109",,Office,,
528729,"11 TAMPINES CONCOURSE, SINGAPORE 528729",,Office,,
247933,"163 TANGLIN ROAD, SINGAPORE 247933",TANGLIN MALL,Retail,,
59765,"20 HAVELOCK ROAD, SINGAPORE 059765",CENTRAL SQUARE,Hotel,,
238889,"60 ORCHARD ROAD, SINGAPORE 238889",THE ATRIUM @ ORCHARD,Mixed Development,,
238839,"68 ORCHARD ROAD, SINGAPORE 238839",PLAZA SINGAPURA,Retail,,
247911,"29 TANGLIN ROAD, SINGAPORE 247911",ST. REGIS HOTEL SINGAPORE,Hotel,,
307964,"36 NEWTON ROAD, SINGAPORE 307964",HOTEL ROYAL,Hotel,,
187996,"30 VICTORIA STREET, SINGAPORE 187996",CHIJMES,Retail,,
199588,"5001 BEACH ROAD, SINGAPORE 199588",GOLDEN MILE COMPLEX,Retail,,
138649,"10 CENTRAL EXCHANGE GREEN, SINGAPORE 138649",PIXEL,Office,,
139964,"20 AYER RAJAH CRESCENT, SINGAPORE 139964",,Office,,
529653,"300 TAMPINES AVENUE 5, SINGAPORE 529653",INCOME AT TAMPINES JUNCTION,Office,,
248646,"190 ORCHARD BOULEVARD, SINGAPORE 248646",FOUR SEASONS HOTEL,Hotel,,
179934,"36 ARMENIAN STREET, SINGAPORE 179934",,Office,,
229835,"99 BUKIT TIMAH ROAD, SINGAPORE 229835",ALFA CENTRE,Office,,
69536,"135 CECIL STREET, SINGAPORE 069536",PHILIPPINE AIRLINES BUILDING,Office,,
